Dgraph Name,New Name
DBA.WTUR.H02JB.WCNV.PmpOpTmh.tmsVal.stVal,DBA.WTUR.StringJ.H02JB.WCNV.PmpOpTmh.tmsVal.stVal
DBA.WTUR.A07BC.WTRF.A07BC_Hydran.LevHi.stVal,DBA.WTUR.StringB.A07BC.WTRF.Hydran.LevHi.stVal
DBA.WTUR.D04PA.WTRF.D04PA_Hydran.LevDlyHi.stVal,DBA.WTUR.StringP.D04PA.WTRF.Hydran.LevDlyHi.stVal
DBA.WTUR.StringF.P10FD.WTUR.Lev1OpModSt.stVal,DBA.WTUR.StringF.P10FD.WTUR.Lev1OpModSt.st.stVal
DBA.WTUR.P34NE.WTUR.MarkVISoftwareVersionNumber.stVal,DBA.WTUR.StringN.P34NE.WTUR.MarkVISoftwareVersionNumber.stVal
DBA.WTUR.P48AE.WTRF.P48AE_Hydran.Alm3RelaySt.stVal,DBA.WTUR.StringA.P48AE.WTRF.Hydran.Alm3RelaySt.stVal
DBA.WTUR.P16GE.WROT.BMSOutFrzCode.stVal,DBA.WTUR.StringG.P16GE.WROT.BMSOutFrzCode.stVal
DBA.WTUR.P33NF.WTUR.TurStSCADAM6eWebHMINamOn.stVal,DBA.WTUR.StringN.P33NF.WTUR.TurStSCADAM6eWebHMINamOn.st.stVal
DBA.WFC.BMU2.Cust_InSCADA_DisInnerFreq_b1 ,DBA.WFC.BMU2.Cust_InSCADA_DisInnerFreq_b1
DBA.WTUR.J01JC.WTRF.J01JC_Hydran.LevHi.stVal,DBA.WTUR.StringJ.J01JC.WTRF.Hydran.LevHi.stVal
DBA.WTUR.P34NE.WTRF.P34NE_Hydran.Alm4RelaySt.stVal,DBA.WTUR.StringN.P34NE.WTRF.Hydran.Alm4RelaySt.stVal
DBA.WTUR.P17GF.WMET.HorWdSpd1.mag,DBA.WTUR.StringG.P17GF.WMET.WdSpd1.mag
DBA.WTUR.StringK.P25KE.WTUR.ElectricalProtSysAlm.stVal,DBA.WTUR.StringK.P25KE.WTUR.ElectricalProtSysAlm.st.stVal
DBA.WTUR.P16GE.WTRF.P16GE_Hydran.BatLevLoLo.stVal,DBA.WTUR.StringG.P16GE.WTRF.Hydran.BatLevLoLo.stVal
DBA.WTUR.D06CA.WGEN.SttTmp3.mag,DBA.WTUR.StringC.D06CA.WGEN.SttTmp3.mag
DBA.WTUR.StringC.P54CE.WGEN.GnClAlm.stVal,DBA.WTUR.StringC.P54CE.WGEN.GnClAlm.st.stVal
DBA.WTUR.P05EB.WTRF.P05EB_Hydran.W.mag,DBA.WTUR.StringE.P05EB.WTRF.Hydran.W.mag
DBA.WTUR.P37PE.WTRF.P37PE_Hydran.UnAckAlm.stVal,DBA.WTUR.StringP.P37PE.WTRF.Hydran.UnAckAlm.stVal
DBA.WTUR.P19HD.WROT.RotAziAng.mag,DBA.WTUR.StringH.P19HD.WROT.RotAziAng.mag
DBA.OCS.OFTO.HVDC.OCT.PS766HMIIVN_L1_RemoteTemperatureNegative.TmpSv.instMag.EURange,DBA.OCS.OFTO.HVDC.OCT.PS766HMIIVN_L1_RemoteTemperatureNegative.TmpSv.instMag
DBA.WTUR.B08DC.WTRF.B08DC_Hydran.H2Oppm.mag,DBA.WTUR.StringD.B08DC.WTRF.Hydran.H2Oppm.mag
DBA.OSP.SAS.System 70.P-70SOP223-004.ISWM.Forward.StatusSignalAlarmHH,DBA.OSP.SAS.System70.P-70SOP223-004.ISWM.Forward.StatusSignalAlarmHH
DBA.OSP.WFO.66kV.M-80EH511-Q24.REC670_PRP.RedChLiv.stVal,DBA.OSP.WFO.66kV.M-80EH511-Q24.REC670.REC670_PRP.RedChLiv.stVal
DBA.WTUR.P48AE.WGEN.SttTmp3.mag,DBA.WTUR.StringA.P48AE.WGEN.SttTmp3.mag
DBA.WTUR.P48AE.WCNV.GriPNV.phsA.cVal.mag,DBA.WTUR.StringA.P48AE.WCNV.GriPNV.phsA.cVal.mag
DBA.WTUR.P51BE.WTRF.P51BE_Hydran.BatLev.mag,DBA.WTUR.StringB.P51BE.WTRF.Hydran.BatLev.mag
DBA.WTUR.P02EE.WTUR.IntnPwrLimSetSt.stVal,DBA.WTUR.StringE.P02EE.WTUR.IntnPwrLimSetSt.stVal
DBA.WTUR.P46AC.WTRF.P46AC_Hydran.H2OHly.mag,DBA.WTUR.StringA.P46AC.WTRF.Hydran.H2OHly.mag
DBA.OSP.SAS.System 40.P-40PSE0013A.HSI.X_Value,DBA.OSP.SAS.System40.P-40PSE0013A.X.Value
DBA.WTUR.P42QC.WGEN.RearBrgTmpHiWrn.stVal,DBA.WTUR.StringQ.P42QC.WGEN.RearBrgTmpHiWrn.stVal
DBA.WTUR.P29LD.WTRF.P29LD_Hydran.LevHlyHiHi.stVal,DBA.WTUR.StringL.P29LD.WTRF.Hydran.LevHlyHiHi.stVal
DBA.WTUR.C01NC.WGEN.GnClStFbk.stVal,DBA.WTUR.StringN.C01NC.WGEN.GnClStFbk.stVal
DBA.WTUR.P19HD.WGEN.VFD1AvlSt.stVal,DBA.WTUR.StringH.P19HD.WGEN.VFD1AvlSt.stVal
DBA.WTUR.P53CD.WCNV.GriPNV.phsB.cVal.mag,DBA.WTUR.StringC.P53CD.WCNV.GriPNV.phsB.cVal.mag
DBA.OSP.SAS.System83.P-83EG001-U60A.HSI.X_Value,DBA.OSP.SAS.System83.P-83EG001-U60A.X.Value
