Dgraph Name,Reason 1,Reason 2,Reason 3,Reason 4,New Name,Comment
DBA.OCS.OFTO.CableMonitoringSystem.HVDCGISCellarHighTemperatureAlarm.Alm.stVal,Lower case c,,,,DBA.OCS.OFTO.CableMonitoringSystem.HVDCGIScellarHighTemperatureAlarm.Alm.stVal,
DBA.OCS.OFTO.CableMonitoringSystem.HVDCGISCellarHighTemperatureWarning.Wrn.stVal,Lower case c,,,,DBA.OCS.OFTO.CableMonitoringSystem.HVDCGIScellarHighTemperatureWarning.Wrn.stVal,
DBA.OCS.OFTO.Converter_Bus_Voltage.Vol.mag,Add HVAC.ACSwitchYard,,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.Converter_Bus_Voltage.Vol.mag,
DBA.OCS.OFTO.Deblock_Indication.Ind.stVal,Add HVAC.ACSwitchYard,,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.Deblock_Indication.Ind.stVal,
DBA.OCS.OFTO.Netural_Current.Amp.mag,Add HVAC.ACSwitchYard,,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.Netural_Current.Amp.mag,
DBA.OCS.OFTO.NonePhaseRelatedMeasurement.VolAmpr.mag,Add HVAC.ACSwitchYard,,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.NonePhaseRelatedMeasurement.VolAmpr.mag,
DBA.OCS.OFTO.NonePhaseRelatedMeasurement.Watt.mag,Add HVAC.ACSwitchYard,,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.NonePhaseRelatedMeasurement.Watt.mag,
DBA.OCS.OFTO.Power_Direction_Station1_To_2.Ind.stVal,Add HVAC.ACSwitchYard,,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.Power_Direction_Station1_To_2.Ind.stVal,
DBA.OCS.OFTO.Power_Direction_Station2_To_1.Ind.stVal,Add HVAC.ACSwitchYard,,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.Power_Direction_Station2_To_1.Ind.stVal,
DBA.OCS.OFTO.VoltageNegative.Vol.mag,Add HVAC.ACSwitchYard,,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.VoltageNegative.Vol.mag,
DBA.OCS.OFTO.VoltagePositive.Vol.mag,Add HVAC.ACSwitchYard,,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.VoltagePositive.Vol.mag,
DBA.OCS.OFTO.X111A.Pos.stVal,Add HVAC.ACSwitchYard,,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.X111A.Ind.stVal,
DBA.OCS.OFTO.X111B.Pos.stVal,Add HVAC.ACSwitchYard,Ind instead of Pos,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.X111B.Ind.stVal,
DBA.OCS.OFTO.X115DCB.Pos.stVal,Add HVAC.ACSwitchYard,Ind instead of Pos,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.X115DCB.Ind.stVal,
DBA.OCS.OFTO.X151.Pos.stVal,Add HVAC.ACSwitchYard,Ind instead of Pos,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.X151.Ind.stVal,
DBA.OCS.OFTO.X153.Pos.stVal,Add HVAC.ACSwitchYard,Ind instead of Pos,,,DBA.OCS.OFTO.HVAC.ACSwitchYard.X153.Ind.stVal,
DBA.OCS.OFTO.X101.Pos.stVal,Add HVAC.ReactorArea,Ind instead of Pos,,,DBA.OCS.OFTO.HVAC.ReactorArea.X101.Ind.stVal,
DBA.OCS.OFTO.X201.Pos.stVal,Add HVAC.ReactorArea,Ind instead of Pos,,,DBA.OCS.OFTO.HVAC.ReactorArea.X201.Ind.stVal,
DBA.OCS.OFTO.D105_SF6_PRESSURE.PresSv.instMag,Add HVAC.SF6Breakers,,,,DBA.OCS.OFTO.HVAC.SF6Breakers.D105_SF6_PRESSURE.PresSv.instMag,
DBA.OCS.OFTO.D205_SF6_PRESSURE.PresSv.instMag,Add HVAC.SF6Breakers,,,,DBA.OCS.OFTO.HVAC.SF6Breakers.D205_SF6_PRESSURE.PresSv.instMag,
DBA.OCS.OFTO.WA1_XE2_XB1_SF6_PRESSURE.PresSv.instMag,Add HVAC.SF6Breakers,,,,DBA.OCS.OFTO.HVAC.SF6Breakers.WA1_XE2_XB1_SF6_PRESSURE.PresSv.instMag,
