OldTagName,NewTagName
DBA.OCS.OFTO.NonePhaseRelatedMeasurement.VolAmpr.mag,DBA.OCS.OFTO.HVAC.ACSwitchYard.NonePhaseRelatedMeasurement.VolAmpr.mag
DBA.OCS.OFTO.NonePhaseRelatedMeasurement.Watt.mag,DBA.OCS.OFTO.HVAC.ACSwitchYard.NonePhaseRelatedMeasurement.Watt.mag
DBA.OCS.OFTO.Power_Direction_Station1_To_2.Ind.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.Power_Direction_Station1_To_2.Ind.stVal
DBA.OCS.OFTO.Power_Direction_Station2_To_1.Ind.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.Power_Direction_Station2_To_1.Ind.stVal
DBA.OCS.OFTO.VoltageNegative.Vol.mag,DBA.OCS.OFTO.HVAC.ACSwitchYard.VoltageNegative.Vol.mag
DBA.OCS.OFTO.VoltagePositive.Vol.mag,DBA.OCS.OFTO.HVAC.ACSwitchYard.VoltagePositive.Vol.mag
DBA.OCS.OFTO.X111A.Pos.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.X111A.Ind.stVal
DBA.OCS.OFTO.X111B.Pos.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.X111B.Ind.stVal
DBA.OCS.OFTO.X115DCB.Pos.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.X115DCB.Ind.stVal
DBA.OCS.OFTO.X151.Pos.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.X151.Ind.stVal
DBA.OCS.OFTO.X153.Pos.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.X153.Ind.stVal
DBA.OCS.OFTO.X101.Pos.stVal,DBA.OCS.OFTO.HVAC.ReactorArea.X101.Ind.stVal
DBA.OCS.OFTO.X201.Pos.stVal,DBA.OCS.OFTO.HVAC.ReactorArea.X201.Ind.stVal
DBA.OCS.OFTO.D105_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.D105_SF6_PRESSURE.PresSv.instMag
DBA.OCS.OFTO.D205_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.D205_SF6_PRESSURE.PresSv.instMag
DBA.OCS.OFTO.WA1_XE2_XB1_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.WA1_XE2_XB1_SF6_PRESSURE.PresSv.instMag
DBA.OCS.OFTO.WA2_XE2_XB1_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.WA2_XE2_XB1_SF6_PRESSURE.PresSv.instMag
DBA.OCS.OFTO.X110_L1_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.X110_L1_SF6_PRESSURE.PresSv.instMag
DBA.OCS.OFTO.X110_L2_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.X110_L2_SF6_PRESSURE.PresSv.instMag
DBA.OCS.OFTO.X110_L3_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.X110_L3_SF6_PRESSURE.PresSv.instMag
DBA.OCS.OFTO.X115DCB_L1_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.X115DCB_L1_SF6_PRESSURE.PresSv.instMag
DBA.OCS.OFTO.X115DCB_L2_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.X115DCB_L2_SF6_PRESSURE.PresSv.instMag
DBA.OCS.OFTO.X115DCB_L3_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.X115DCB_L3_SF6_PRESSURE.PresSv.instMag
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_ActiveState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Activestate.Ind.stVal
DBA.OCS.OFTO.T2AXC1A1_ActiveState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Activestate.Ind.stVal
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_EmergencyFault.Alm.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Emergencyfault.Alm.stVal
DBA.OCS.OFTO.T2AXC1A1_EmergencyFault.Alm.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Emergencyfault.Alm.stVal
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_MinorFault.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Minorfault.Ind.stVal
DBA.OCS.OFTO.T2AXC1A1_MinorFault.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Minorfault.Ind.stVal
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_OffState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Offstate.Ind.stVal
DBA.OCS.OFTO.T2AXC1A1_OffState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Offstate.Ind.stVal
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_SevereFault.Wrn.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Severefault.Wrn.stVal
DBA.OCS.OFTO.T2AXC1A1_SevereFault.Wrn.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Severefault.Wrn.stVal
DBA.OCS.OFTO.T2AXC1A1_StandbyState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_StandbyState.Ind.stVal
DBA.OCS.OFTO.T2AXC1A1_Temperature.TmpSv.instMag,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Temperature.TmpSv.instMag
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_ActiveState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Activestate.Ind.stVal
DBA.OCS.OFTO.T2AXC1B1_ActiveState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Activestate.Ind.stVal
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_EmergencyFault.Alm.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Emergencyfault.Alm.stVal
DBA.OCS.OFTO.T2AXC1B1_EmergencyFault.Alm.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Emergencyfault.Alm.stVal
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_MinorFault.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Minorfault.Ind.stVal
