Dgraph Name,New Name,createdTimeNewTag
DBA.OSP.WFO.66kV.M-80EH511-Q24.3_PHS_SYS_MEASUREMENT.PPV.phsCA.cVal.mag,DBA.OSP.WFO.66kV.M-80EH511-Q24.3_PHS_SYS_MEASUREMENT.PPV.phsCA.cVal.mag,2024-04-03 23:59:59.999999
DBA.OSP.OFTO.HVAC.66kV.Q22.WA1_WA1_Q22_QB3.Pos.stVal,DBA.OSP.OFTO.HVAC.66kV.P-80EH511-Q22.WA1_WA1_P-80EH511-Q22_QB3.Pos.stVal,
DBA.OSP.OFTO.HVAC.66kV.Q08.MSM_Q08_IED.PhyHealth.stVal,DBA.OSP.OFTO.HVAC.66kV.P-80EH510-Q08.MSM_P-80EH510-Q08_IED.PhyHealth.stVal,
DBA.WFC.BMU1.W_CtrlVARSetpMVAR_r32 ,DBA.WFC.BMU1.W_CtrlVARSetpMVAR_r35,
DBA.OSP.OFTO.HVAC.66kV.Q22.MSM_Q22_IED.PhyHealth.stVal,DBA.OSP.OFTO.HVAC.66kV.P-80EH511-Q22.MSM_P-80EH511-Q22_IED.PhyHealth.stVal,
DBA.OCS.OFTO.CableMonitoringSystem.HVDCGISCellarHighTemperatureAlarm.Alm.stVal,DBA.OCS.OFTO.CableMonitoringSystem.HVDCGIScellarHighTemperatureAlarm.Alm.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.CableMonitoringSystem.HVDCGISCellarHighTemperatureWarning.Wrn.stVal,DBA.OCS.OFTO.CableMonitoringSystem.HVDCGIScellarHighTemperatureWarning.Wrn.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.Converter_Bus_Voltage.Vol.mag,DBA.OCS.OFTO.HVAC.ACSwitchYard.Converter_Bus_Voltage.Vol.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.Deblock_Indication.Ind.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.Deblock_Indication.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.Netural_Current.Amp.mag,DBA.OCS.OFTO.HVAC.ACSwitchYard.Netural_Current.Amp.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.NonePhaseRelatedMeasurement.VolAmpr.mag,DBA.OCS.OFTO.HVAC.ACSwitchYard.NonePhaseRelatedMeasurement.VolAmpr.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.NonePhaseRelatedMeasurement.Watt.mag,DBA.OCS.OFTO.HVAC.ACSwitchYard.NonePhaseRelatedMeasurement.Watt.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.Power_Direction_Station1_To_2.Ind.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.Power_Direction_Station1_To_2.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.Power_Direction_Station2_To_1.Ind.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.Power_Direction_Station2_To_1.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.VoltageNegative.Vol.mag,DBA.OCS.OFTO.HVAC.ACSwitchYard.VoltageNegative.Vol.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.VoltagePositive.Vol.mag,DBA.OCS.OFTO.HVAC.ACSwitchYard.VoltagePositive.Vol.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.X111A.Pos.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.X111A.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.X111B.Pos.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.X111B.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.X115DCB.Pos.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.X115DCB.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.X151.Pos.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.X151.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.X153.Pos.stVal,DBA.OCS.OFTO.HVAC.ACSwitchYard.X153.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.X101.Pos.stVal,DBA.OCS.OFTO.HVAC.ReactorArea.X101.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.X201.Pos.stVal,DBA.OCS.OFTO.HVAC.ReactorArea.X201.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.D105_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.D105_SF6_PRESSURE.PresSv.instMag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.D205_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.D205_SF6_PRESSURE.PresSv.instMag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.WA1_XE2_XB1_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.WA1_XE2_XB1_SF6_PRESSURE.PresSv.instMag,2024-03-01 23:59:59.999999
